,PAPER_ID,Year,Title,Keywords,Abstract,SR,cr_title,cr_doi,cr_author,cr_journal,cr_score,cr_scoreauthor
320,CASTRO CB 2010 J NAT HIST,2010,OCTOCORALLIA CNIDARIA ANTHOZOA FROM BRAZILIAN REEFS,OCTOCORALLIA SOUTH-WESTERN ATLANTIC BRAZIL CORAL REEF TAXONOMY NEWSPECIES CARIJOA-RIISEI CORAL-REEFS SYSTEMATICS INVASION,BRAZILIAN REEF OCTOCORALS HAVE BEEN RELATIVELY POORLY STUDIED. THE LAST  MAJOR REVIEW WAS PUBLISHED IN THE EARLY 1960S BY F. M. BAYER. THE  CURRENT STUDY INCLUDES A FULL HISTORICAL AND LITERATURE REVIEW OF  BRAZILIAN REEF OCTOCORALS AND LISTS 17 SPECIES. FOUR NEW SPECIES ARE  DESCRIBED MURICEOPSIS METACLADOS LEPTOGORGIA PSEUDOGRACILIS  STEPHANOGORGIA RATTOI AND TRICHOGORGIA BRASILIENSIS. TWO NEW SYNONYMS  ARE PROPOSED OLINDAGORGIA GRACILIS VERRILL 1868 WITH OLINDAGORGIA  MARCGRAVII BAYER 1961 AND ELLISELLA ELONGATA PALLAS 1766 WITH  ELLISELLA BARBADENSIS DUCHASSAING AND MICHELOTTI 1864. CURRENT  KNOWLEDGE ON MURICEOPSIS IS INCLUDED BUT THE MURICEOPSIS SULPHUREA  COMPLEX NEEDS A THOROUGH REVISION. WHENEVER THERE IS NOT A RECENT  EVALUATION OF A SPECIES IT IS FULLY DESCRIBED AND ILLUSTRATED ITS MAIN  SYNONYMIES ARE INCLUDED AND DISTRIBUTIONAL RANGES ARE INDICATED. AN  IDENTIFICATION KEY IS PROVIDED.,CASTRO CB 2010 J NAT HIST,Octocorallia (Cnidaria: Anthozoa) from Brazilian reefs,10.1080/00222930903441160,Castro,Journal of Natural History,0.944444444444444,1
1570,SCHWAMBORN SHL 2002 ENVIRON BIOL FISHES,2002,AGE STRUCTURE AND GROWTH OF THE DUSKY DAMSELFISH STEGASTES FUSCUS FROM  TAMANDARE REEFS PERNAMBUCO BRAZIL,POMACENTRIDAE AGE GROWTH VALIDATION EXPERIMENTS CORAL REEFS DAILY OTOLITH INCREMENTS TROPICAL PARROTFISHES PAGRUS-AURATUS CORALTROUT VALIDATION FISH MICROSTRUCTURE RECRUITMENT PARAMETERS PREDATION,AGE STRUCTURE AND GROWTH OF STEGASTES FUSCUS WERE INVESTIGATED DURING  THE PRESENT STUDY. INDIVIDUALS WERE COLLECTED MONTHLY BY DIVERS USING  NETS AND SPEARS IN THE REEFS OFF TAMANDARE PERNAMBUCO BRAZIL. OTOLITHS  WERE REMOVED FROM 346 INDIVIDUALS AND SECTIONED TRANSVERSALLY TO  DETERMINE INDIVIDUAL AGE. OTOLITH SECTIONS SHOWED A CLEAR PATTERN OF  OPAQUE AND TRANSLUCENT BANDS. OPAQUE BANDS WERE COUNTED AND INITIALLY  ATTRIBUTED TO THE AGE OF INDIVIDUAL FISH. TO DETERMINE THE PERIODICITY  OF BAND FORMATION A VALIDATION EXPERIMENT WAS PERFORMED IN WHICH  INDIVIDUALS N = 8 WERE INJECTED WITH TETRACYCLINE 50 MG KG-1 AND  KEPT IN THE LABORATORY FOR PERIODS OF THREE MONTHS TO ONE YEAR. RESULTS  OF THE VALIDATION EXPERIMENT SHOWED THAT ONE OPAQUE BAND IS DEPOSITED  PER YEAR. THE AGE OF INDIVIDUALS COLLECTED FROM JANUARY TO DECEMBER 1995  RANGED BETWEEN 0 AND 15 YEARS. ANALYSIS OF MARGINS OF MONTHLY COLLECTED  INDIVIDUALS SUGGESTED THAT OPAQUE BANDS ARE DEPOSITED DURING THE DRY  SEASON BETWEEN SEPTEMBER AND MARCH. READINGS OF TETRACYCLINE-MARKED  OTOLITHS CORROBORATED THESE RESULTS. THE LENGTH-AT-AGE CURVE YIELDED A  GROWTH CONSTANT K OF 0.19 Y-1. THE HIGH VARIABILITY OF THE  LENGTH-AT-AGE DATA INDICATED HIGH VARIABILITY IN INDIVIDUAL GROWTH.  LENGTH-FREQUENCY DATA WERE ALSO USED TO OBTAIN GROWTH PARAMETERS. THE  GROWTH CONSTANT AS DETERMINED WITH THESE DATA WAS 0.6 Y-1 AND  DIFFERED MARKEDLY FROM K VALUES DETERMINED FROM LENGTH-AT-AGE DATA. IT  WAS CONCLUDED THAT LENGTH-FREQUENCY DATA ARE NOT SUITABLE TO DETERMINE  GROWTH OF THIS SPECIES. THE PRESENT STUDY SHOWED THAT OTOLITHS ARE A  RELIABLE STRUCTURE FOR AGING S. FUSCUS WHICH SHOWED TO BE A RELATIVELY  LONG-LIVED AND SLOW-GROWING TROPICAL REEF SPECIES.,SCHWAMBORN SHL 2002 ENVIRON BIOL FISHES,"Age Structure and Growth of the Dusky Damselfish, Stegastes Fuscus, From Tamandaré Reefs, Pernambuco, Brazil",10.1023/a:1013851532298,Schwamborn,Environmental Biology of Fishes,0.944444444444444,1
209,BISPO A 2016 J MAR BIOL ASSOC U K,2016,TWO NEW SHALLOW-WATER SPECIES OF HALICLONA FROM NORTH-EASTERN BRAZIL  DEMOSPONGIAE HAPLOSCLERIDA CHALINIDAE,PORIFERA BIODIVERSITY TAXONOMY TROPICAL WESTERN ATLANTIC PORIFERA DEMOSPONGIAE ALAGOAS SPONGES REEFS,HALICLONA IS AN UNUSUALLY SPECIES-RICH GENUS IN PORIFERA WITH MORE THAN  400 SPECIES DESCRIBED. IN SPITE OF MANY SUBGENERA USED IN THE TAXONOMIC  HOUSEKEEPING OF THESE SPONGES OVER HALF OF THEM REMAIN UNASSIGNED TO A  SUBGENUS THUS ENCOURAGING A WIDE RANGE OF REDESCRIPTIONS AND TAXONOMIC  REVISIONS OF MATERIALS FROM ALL AROUND THE WORLD. IN THIS PAPER WE  DESCRIBE TWO NEW HALICLONA SPP. COLLECTED AT PERNAMBUCO ALAGOAS AND  BAHIA STATES NORTH-EASTERN BRAZIL BETWEEN 08 DEGREES 46'S AND 13  DEGREES 56'S. HALICLONA RENIERA CHLORILLA SP. NOV. IS A DARK GREEN OR  BLACK COLOURED DELICATELY-BRANCHED SPECIES AND HALICLONA SOESTELLA  PEIXINHOAE SP. NOV. A BEIGE-COLOURED TUBULAR SPECIES WHERE TUBES  FREQUENTLY BEAR LARGE THORNS AND POSSESS A CONSPICUOUS SUB-SUPERFICIAL  MEANDERING RETICULATION. THESE SPECIES HIGHLIGHT THE IMPORTANCE OF  INCLUDING EX-SITU COLLECTIONS IN COMPILING BASELINE DATA AS BOTH WERE  ALREADY PRESENT IN SCIENTIFIC COLLECTIONS BY THE 1980S AND 1990S.,BISPO A 2016 J MAR BIOL ASSOC U K,Two new shallow-water species ofHaliclonafrom north-eastern Brazil (Demospongiae: Haplosclerida: Chalinidae),10.1017/s0025315414000344,FALSE,Journal of the Marine Biological Association of the United Kingdom,0.944444444444444,0
608,FAIRBRIDGE RW 1995 CARBONATES EVAPORITES,1995,EOLIANITES AND EUSTASY - EARLY CONCERTS ON DARWINS VOYAGE OF HMS BEAGLE,NA SEA-LEVEL SEQUENCES BAHAMAS ISLAND,`'EOLIANITE'' AND `'EUSTASY'' SUE BOTH 20TH CENTURY TERMS AND EVEN IN  THEIR MOST RUDIMENTARY BEGINNINGS WERE NOT ALLUDED TO IN MOST EARLY 1901  CENTURY TREATISES OF GEOLOGY. DARWIN SAW BEACHROCK FOR THE FIRST TIME IN  1832 WHEN HMS BEAGLE STOPPED AT RECIFE PERNAMBUCO IN BRAZIL THEN SAW  RAISED SHORE TERRACES IN PATAGONIA AND CHILE FOLLOWED BY CORAL ATOLLS  IN MID-PACIFIC AND EXAMINED EOLIANITES ON ASCENSION. S.W. AUSTRALIA  SOUTH AFRICA AND ON ST. HELENA DURING THE BEAGLE'S EXTENDED VOYAGE  1831-1836.  THE SUBSIDENCE THEORY OF ATOLLS BASED ON STUDIES OF CAPT. FITZROY'S  NAVY CHARTS WAS FORMULATED ALREADY BEFORE REACHING RECIFE AND THE  CRUSTAL UPLIFT IN PATAGONIA OFFERED A PERFECTLY LOGICAL CONTRAST TO  PACIFIC SUBSIDENCE THAT EVENTUALLY LED TO THE CONCEPT OF  `'TECTONO-EUSTASY''. ALTHOUGH A DECADE OR SO BEFORE CHARPENTIER AGASSIZ  AND GEIKIE THE ICE-AGE GLACIATION MUST HAVE BEEN CLEARLY IMPLANTED IN  DARWIN'S MIND FOR HE ALSO REASONED ON THE ASSUMPTION OF ITS HYDROLOGIC  IMPLICATIONS NOW KNOWN AS `'GLACIO-EUSTASY''.  DARWIN REPEATEDLY OBSERVED LIME-CEMENTED SANDSTONES LATER TO BE CALLED  `'EOLIAN CALCARENITES'' BY GRABAU AND `'EOLIANITES'' BY SAYLES IN  COASTAL SETTINGS. THEIR STEEP DIPS AND BEDDING ORIENTATION SUGGESTED  WIND-BORNE ''AEOLIAN'' TRANSPORT FROM SEAWARD FROM A CONTINENTAL OR  INSULAR SHELF NOW INUNDATED BY WHAT - HE REASONED - WAS A RISE OF SEA  LEVEL OR SINKING OF THE LAND. DARWIN'S OBSERVATIONS OF EOLIANITES AT  KING GEORGE'S SOUND IN SOUTHWESTERN AUSTRALIA IN THE LAST YEAR OF THE  VOYAGE OF THE BEAGLE MARCH 1836 MAY PERHAPS HAVE BEEN THE FINAL  `'CRUCIAL EXPERIMENT'' THAT CONVINCED HIM OF THE FUNDAMENTAL CONCEPT THE  WORLDWIDE NATURE OF EUSTASY.,FAIRBRIDGE RW 1995 CARBONATES EVAPORITES,Eolianites and Eustasy: Early concepts on Darwin’s voyage of HMS Beagle,10.1007/bf03175244,Fairbridge,Carbonates and Evaporites,0.943661971830986,1
747,GIBRAN FZ 2007 NEOTROP ICHTHYOL,2007,ACTIVITY HABITAT USE FEEDING BEHAVIOR AND DIET OF FOUR SYMPATRIC  SPECIES OF SERRANIDAE ACTINOPTERYGII  PERCIFORMES IN SOUTHEASTERN  BRAZIL,DIPLECTRUM FORMOSUM DIPLECTRUM RADIALE EPINEPHELUS MARGINATUS MYCTEROPERCA ACUTIROSTRIS ECOMORPHOLOGY EPINEPHELUS-MARGINATUS FORAGING ECOLOGY REEF FISHES GROUPERS SIZE ASSOCIATIONS COMPETITION MARINE GULF EELS,DIPLECTRUM FORMOSUM THE SAND PERCH DIPLECTRUM RADIALE THE AQUAVINA  EPINEPHELUS MARGINATUS THE DUSKY GROUPER AND MYCTEROPERCA ACUTIROSTRIS  THE COMB GROUPER ARE FOUR SYMPATRIC SERRANID OF REMARKABLE ECOLOGICAL  AND COMMERCIAL IMPORTANCE. THIS STUDY INVESTIGATED THE FEEDING OF THESE  FOUR SPECIES IN THE SAO SEBASTIAO CHANNEL SAO PAULO STATE SOUTHEASTERN  BRAZIL COMPARING THEIR DIET HABITAT UTILIZATION AND MORPHOLOGICAL  FEATURES RELATED TO FORAGING. THESE FOUR SERRANIDS ARE OPPORTUNISTIC  VISUAL PREDATORS THAT USE A TOTAL OF NINE DIFFERENT TACTICS TO CAPTURE  THEIR PREYS FEED MOSTLY ON CRUSTACEANS DURING THE DAY AND TWILIGHT AND  KEEP STATIONARY AND QUIESCENT AT NIGHT. THE ECOMORPHOLOGICAL STUDY WAS  CONDUCTED TO TEST ITS PREDICTIVE VALUE TO INFER LIFESTYLES. IT WAS  VERIFIED THAT SUCH ANALYSIS SHOULD BE USED CAREFULLY AND MUST BE  COMPLEMENTED BY FIELD OBSERVATIONS. ALTHOUGH MORPHOLOGICALLY AND  BEHAVIORALLY VERY SIMILAR D. FORMOSUM AND D. RADIALE SHOWED DIFFERENT  PREFERENCES TO THE SUBSTRATUM TYPE USED BY LARGE INDIVIDUALS WHICH ARE  EXCLUSIVELY SIT-AND-WAIT PREDATORS. ON THE OTHER HAND E. MARGINATUS  DISPLAYED MORE SEDENTARY HABITS THAN M. ACUTIROSTRIS THE MOST VERSATILE  PREDATOR FROM THE STUDIED SPECIES. THE STUDIED SPECIES OF DIPLECTRUM AND  E. MARGINATUS CAN BE REGARDED AS BENTHIC SERRANIDS WHILE M.  ACUTIROSTRIS COULD BE VIEWED AS A NEKTOBENTHIC SPECIES.,GIBRAN FZ 2007 NEOTROP ICHTHYOL,"Activity, habitat use, feeding behavior, and diet of four sympatric species of Serranidae (Actinopterygii: Perciformes) in southeastern Brazil",10.1590/s1679-62252007000300018,Gibran,Neotropical Ichthyology,0.943661971830986,1
484,DE FREITAS MC 2009 BRAZ ARCH BIOL TECHNOL,2009,IMPACT OF THE CONSTRUCTION OF THE HARBOR AT PECEM CEARA BRAZIL UPON  REEF FISH COMMUNITIES IN TIDE POOLS,MARINE FISHES ENVIRONMENTAL CHANGES SAND DREDGING SAND,THIS STUDY AIMED TO ASSESS THE IMPACT OF HARBOR CONSTRUCTION AT PECEM   BRAZIL UPON THE REEF FISH COMMUNITIES IN TIDE POOLS. THE MONITORING WAS  CARRIED OUT THROUGH A VISUAL CENSUS AND SEA WATER QUALITY WAS EVALUATED  BY MICROBIOLOGICAL ANALYSES. FROM MARCH TO DECEMBER 2001 1425  INDIVIDUALS OF 17 FAMILIES AND 25 SPECIES WERE REGISTERED. THE MOST  FREQUENT SPECIES WERE HAEMULON PARRA ACANTHURUS CHIRURGUS ABUDEFDUF  SAXATILIS AND SPARISOMA AXILLARE. THE AVERAGE SPECIES DIVERSITY FOR THE  WHOLE PERIOD WAS 1.77 BITS. IND-1. THERE WAS EVIDENCE THAT THE TIDE  POOLS GRADUALLY SILTED UP RESULTING IN A REDUCTION IN SPECIES DIVERSITY  AND RICHNESS. THE MICROBIOLOGICAL ANALYSES INDICATED THE PRESENCE OF  FAECAL COLIFORMS IN THE WATER THOUGH NOT AT SIGNIFICANT LEVELS. THE  PRESENT STUDY COULD BE USEFUL AS AN EARLY REFERENCE FOR FUTURE PROJECTS  USING THE FISH COMMUNITIES AS INDICATORS FOR THE IMPACT UPON THE  ENVIRONMENT OF THE HARBOR CONSTRUCTION AND OTHER HUMAN ACTIVITIES.,DE FREITAS MC 2009 BRAZ ARCH BIOL TECHNOL,"Impact of the construction of the harbor at pecém (Ceará, Brazil) upon reef fish communities in tide pools",10.1590/s1516-89132009000100024,Freitas,Brazilian Archives of Biology and Technology,0.943396226415094,0.142857142857143
272,CALMANOVICI B 2018 MAR ECOL -PROG SER,2018,IS-S-3 PATTERN AS A MARK-RECAPTURE TOOL TO IDENTIFY CAPTURED AND  FREE-SWIMMING SEA TURTLES AN ASSESSMENT,INTERACTIVE INDIVIDUAL IDENTIFICATION SYSTEM PHOTO-IDENTIFICATION WILDLIFE RECOGNITION SOFTWARE SEA TURTLES MARK-RECAPTURE STUDIES CHELONIA-MYDAS ERETMOCHELYS-IMBRICATA PHOTOIDENTIFICATION REEF IDENTIFICATION RECOGNITION VALIDATION VIABILITY FLORIDA,IDENTIFYING INDIVIDUAL SEA TURTLES IS ESSENTIAL FOR UNDERSTANDING  POPULATION DYNAMICS AND IN TURN PLANNING CONSERVATION EFFORTS.  TRADITIONALLY SEA TURTLE INDIVIDUALS ARE IDENTIFIED THROUGH THE  APPLICATION OF EXTERNAL FLIPPER TAGS AND/OR INTERNAL PASSIVE INTEGRATED  TRANSPONDERS PITS. HOWEVER SEA TURTLE IDENTIFICATION AND CONSEQUENTLY  POPULATION STUDIES ARE HAMPERED BY THE LOSS OF EXTERNAL FLIPPER TAGS AND  MIGRATION OF PITS. IN THIS STUDY WE ASSESSED THE ACCURACY AND TIME  EFFICIENCY OF THE INTERACTIVE INDIVIDUAL IDENTIFICATION SYSTEM SOFTWARE  IS-S-3 PATTERN V. 4.02 TO PHOTO-IDENTIFY FACIAL PATTERNS OF IMMATURE  CAPTURED AND FREE-SWIMMING GREEN TURTLES CHELONIA MYDAS AND HAWKSBILL  TURTLES ERETMOCHELYS IMBRICATA. USING A LIBRARY OF 436 PHOTOS  REPRESENTING 189 SEA TURTLE INDIVIDUALS WE EVALUATED THE ACCURACY AND  TIME TAKEN FOR IS-S-3 PATTERN TO MATCH INDIVIDUALS. A HIGH PROPORTION  OF INDIVIDUALS WERE SUCCESSFULLY IDENTIFIED FROM PHOTOGRAPHS TAKEN OF  CAPTURED TURTLES 97\% AND FREE-SWIMMING TURTLES 85\%. IS-S-3  REDUCED DATA ANALYSIS TIME BY 80\% WHEN COMPARED TO THE VISUAL  ASSESSMENT OF PHOTOS AND IS FURTHER OPTIMISED WHEN PHOTOGRAPHS ARE OF  INCREASED QUALITY. THESE RESULTS DEMONSTRATE THAT IS-S-3 HAS GREAT  POTENTIAL TO CONTRIBUTE TO POPULATION STUDIES AND MANAGEMENT PLANS BY  FACILITATING BOTH SPECIALISED RESEARCH AND CITIZEN SCIENCE PROGRAMMES.,CALMANOVICI B 2018 MAR ECOL -PROG SER,I3S Pattern as a mark-recapture tool to identify captured and free-swimming sea turtles: an assessment,10.3354/meps12483,Calmanovici,Marine Ecology Progress Series,0.942857142857143,1
1233,NOGUEIRA JMD 2001 J NAT HIST,2001,DESCRIPTION OF FIVE NEW SPECIES OF EXOGONINAE RIOJA 1925 POLYCHAETA   SYLLIDAE ASSOCIATED WITH THE STONY CORAL MUSSISMILIA HISPIDA VERRILL  1868 IN SAO PAULO STATE BRAZIL,SHAEROXYLLIS GRUBEOSYLLIS SYLLIDAE EXOGONINAE POLYCHAETA BRAZIL SPHAEROSYLLIS REEFS GULF,CORAL HEADS OF MUSSISMILIA HISPIDA WERE COLLECTED AT TWO ISLANDS OFF THE  COAST OF SAO PAULO SOUTH-EASTERN BRAZIL. ANALYSIS OF THE SYLLIDS  ASSOCIATED WITH THESE CORAL HEADS LED TO THE IDENTIFICATION OF THREE NEW  SPECIES OF SPHAEROSYLLIS S. ISABELLAE. S. BRASILIENSIS AND S.  MUSSISMILIAICOLA. AND TWO OF GRUBEOSYLLIS G. BREVIARCTICULATA AND G.  LONGIARTICULATA DESCRIPTIONS OF WHICH ARE HERE PRESENTED. SPHAEROSYLLIS  ISABELLAE N. SP. IS CHARACTERIZED BY BULBOUS ANTENNAE. AND ARTICULATED  TENTACULAR AND DORSAL CIRRI WITH AN ELONGATE PROXIMAL PART AND A  RETRACTILE GLOBULAR TIP PALPS DENSELY PAPILLATED AND BLADES OF COMPOUND  CHAETAE VERY SHORT NEARLY WITHOUT DORSOVENTRAL GRADATION IN LENGTH S.  BRASILIENSIS N. SP. HAS A DENSELY PAPILLATED BODY. SMALL AND CLAVATE  DORSAL CIRRI. AND ANTENNAE AND A STRONG DORSOVENTRAL GRADATION IN SIZE  OF THE BLADES OF COMPOUND CHAETAE S. MUSSISMILIAICOLA N SP. IS  CHARACTERIZED BY LONG DORSAL CIRRI AND COMPOUND CHAETAE. BLADES OF WHICH  ARE MINUTELY BIDENTATE. WITH A LONG SPINE AT THE TOP OF THE PROXIMAL  TOOTH. GRUBEOSYLLIS BREVIARCTICULATA N. SP. IS CHARACTERIZED BY HAVING  LONG DORSAL CIRRI AND SHORT-BLADED COMPOUND CHAETAE WHILE G.  LONGIARTICULATA N. SP. HAS COMPOUND CHAETAE WITH VERY LONG BIDENTATE  BLADES. THE DIFFERENCES BETWEEN THESE NEW SPECIES AND THOSE MOST SIMILAR  IN THE TWO GENERA ARE DISCUSSED AND A KEY TO ALL THESE SPECIES IS  GIVEN.,NOGUEIRA JMD 2001 J NAT HIST,"Description of five new species of Exogoninae Rioja, 1925 (Polychaeta: Syllidae) associated with the stony coral Mussismilia hispida (Verrill, 1868) in Saõ Paulo State, Brazil",10.1080/00222930152667096,De Nogueira,Journal of Natural History,0.942857142857143,0.727272727272727
1514,SANTOS CINTHYA S G 2003 ,2003,NEREIDIDAE POLYCHAETA DA COSTA NORDESTE DO BRASIL III. G?�NEROS CERATONEREIS E NEREIS,ANNELIDA NEREIDIDAE TAXONOMY NORTHEASTERN BRAZIL ,TEN SPECIES BELONGING TO THE GENERA CERATONEREIS KINBERG 1866 AND NEREIS LINNAEUS 1758 WERE RECORDED IN ESTUARIES EXPOSED SANDY BEACHES SHELLY SOFT BOTTOMS ATOLLS AND CORAL REEFS OF THE BRAZILIAN NORTHEASTERN COAST. TWO NEW SPECIES NEREIS SERRATA FROM CEAR?� COAST AND NEREIS PSEUDOMONILIFORMIS FROM SERGIPE COAST ARE DESCRIBED. ,SANTOS CINTHYA S G 2003 ,Nereididae (Polychaeta) da costa nordeste do Brasil: III. Gêneros Ceratonereis e Nereis,10.1590/s0073-47212003000100001,Santos,Iheringia. Série Zoologia,0.942528735632184,1
139,BARBOSA CF 2016 MAR MICROPALEONTOL,2016,HEALTH ENVIRONMENTAL ASSESSMENT OF THE CORAL REEF-SUPPORTING TAMANDARE  BAY NE BRAZIL,FORAMINIFERA GEOCHEMISTRY SEDIMENT FORAM INDEX FORAM STRESS INDEXCORAL REEF ASSESSMENT BENTHIC FORAMINIFERAL ASSEMBLAGES WATER-QUALITY NORTHERN BAHIA KEY-LARGO BIOINDICATORS SEDIMENTS SEA ARCHIPELAGO INDICATORS ABROLHOS,THIS STUDY AIMED TO ASSESS SPATIAL AND TEMPORAL ECOSYSTEM HEALTH  VARIABILITY OF CORAL REEFS IN THE TAMANDARE OPEN EMBAYMENT LOCATED IN  NORTHEAST BRAZIL SOUTHWEST ATLANTIC OCEAN USING WATER AND SEDIMENT  PARAMETERS AND BENTHIC FORAMINIFERA AS BIOINDICATORS. SEDIMENT SAMPLES  WERE COLLECTED DURING THE SUMMER AND WINTER OF 2005 AT THE REEF BASE  GENERALLY BUILT OVER BEACHROCK STRUCTURES. THE FORAM INDEX FI A  FORAMINIFERAL FUNCTIONAL GROUP COMMUNITY-BASED WATER QUALITY  ASSESSMENT AND THE FORAM STRESS INDEX FSI WHICH IS MORE RELATED TO  ECOLOGICAL AFFINITIES THAN TO FUNCTIONAL GROUPS AND ASSESSES SEDIMENT OR  SUBSTRATA QUALITY TOGETHER WITH GEOCHEMICAL DATA WERE INTERPRETED USING  UNI- AND MULTI-VARIATE ANALYSIS. THIS IS THE FIRST APPLICATION OF FSI  OUTSIDE OF MEDITERRANEAN WATERS. THE DOMINANCE OF THE QUINQUELOCULINA  AND TEXTULARIA ALONG WITH NEGLIGIBLE NUMBERS OF LIVING SPECIMENS LOW  COUNTS OF SYMBIONT-BEARING FORAMINIFERA AND THUS LOW FI HIGH  TURBIDITY AND HIGH PHOSPHORUS CONCENTRATIONS CONFIRM THE ANTHROPOGENIC  INFLUENCE OF RIVER INPUTS. ALL PARAMETERS SUGGEST THAT THE WATER AND  SEDIMENT OF THE TAMANDARE EMBAYMENT ARE MARGINAL FOR CORAL POPULATION  SETTLEMENT ALTHOUGH THE FSI WHICH PRESENTS HIGHER VALUES AT UNPOLLUTED  ECOSYSTEMS SUGGESTS MORE SUSTAINABLE CONDITIONS DURING SUMMER THAN  WINTER AS FOUND FOR FI. THE FI INDICATION OF MARGINAL ENVIRONMENTAL  HEALTH IS NOT IN AGREEMENT WITH THE FSI AND THE CURRENTLY STABLE CORAL  POPULATION FOUND OVER THE UNDERLYING BEACHROCK ESPECIALLY AT THE  ESTABLISHED NO-TAKE ZONE WHERE GOOD CONDITIONS HAVE BEEN DESCRIBED. THE  CENTRAL TRANSECT INFLUENCED BY THE NO-TAKE ZONE PRESENTS THE MOST  FAVORABLE SEDIMENTARY SECTOR FOR CONSERVATION INITIATIVES AS INDICATED  BY FORAMINIFERA AND OTHER VARIABLES PREFERENTIALLY ON THE SUMMER SEASON  DUE TO LOW RIVER DISCHARGE OF SEDIMENTS. LOCAL SCIENTIFIC AND  COMMUNITY-BASED CORAL CONSERVATION INITIATIVES HAVE IMPROVED ECOSYSTEM  HEALTH. C 2016 ELSEVIER B.V. ALL RIGHTS RESERVED.,BARBOSA CF 2016 MAR MICROPALEONTOL,"Health environmental assessment of the coral reef-supporting Tamandaré Bay (NE, Brazil)",10.1016/j.marmicro.2016.07.004,FALSE,Marine Micropaleontology,0.942528735632184,0.285714285714286
1689,SUAREZ-MORALES E 2011 PLOS ONE,2011,DIVERSITY OF THE MONSTRILLOIDA CRUSTACEA COPEPODA,NA SARS CRUSTACEA CARIBBEAN SEA CYMBASOMA REDESCRIPTION RECORD BRAZIL,MONSTRILLOID COPEPODS ARE PROTELEAN PARASITES OF DIFFERENT GROUPS OF  MARINE BENTHIC INVERTEBRATES. ONLY THEIR FIRST NAUPLIAR PREADULT AND  ADULT PHASES ARE PLANKTONIC. MONSTRILLOIDS ARE CURRENTLY REPRESENTED BY  MORE THAN 115 NOMINAL SPECIES CONTAINED IN FOUR GENERA. ITS TAXONOMIC  KNOWLEDGE HAS BEEN HAMPERED BY NOMENCLATURAL AND DESCRIPTIVE PROBLEMS  DERIVED FROM THEIR PECULIAR ONTOGENY AND POOR DEFINITIONS OF TAXA. ONE  OF THE MOST IMPORTANT DIFFICULTIES IS THAT OF MATCHING MALES TO FEMALES.  THE ONLY RELIABLE METHODS TO LINK THE SEXES OF A SPECIES ARE THE  CONFIRMATION OF PARTICULAR APOMORPHIES SHARED BY BOTH SEXES FINDING  BOTH SEXES IN THE SAME HOST OR AS A PRE-COPULATORY MALE-FEMALE PAIR IN  THE PLANKTON OR BY THE USE OF MOLECULAR MARKERS. A GENERAL OVERVIEW OF  THE MORPHOLOGY OF THE GROUP AND ITS LIFE CYCLE IS PROVIDED HEREIN.  RECENTLY UPGRADED DESCRIPTIVE STANDARDS HAVE BEEN ESTABLISHED AND THE  RELEVANCE OF REDESCRIBING TAXA BASED ON TYPE AND MUSEUM SPECIMENS HAS  BEEN DEMONSTRATED. THE RATE OF SPECIES DESCRIPTION PER DECADE HAS HAD  SEVERAL PEAKS BETWEEN 1840 AND 2010 19711980 1991-2000 2001-2010  EACH RELATED TO THE ACTIVITY OF A FEW RESEARCHERS. AN ANALYSIS OF THE  WORLD DISTRIBUTION OF PUBLISHED RECORDS OF THE MONSTRILLOIDA REVEALED  THAT THE NORTHEAST ATLANTIC IS THE BEST STUDIED REGION 45\% OF ALL  RECORDS FOLLOWED BY THE NORTHWESTERN ATLANTIC 17\% THE LEAST  SURVEYED AREAS INCLUDE REGIONS OF THE SOUTHERN HEMISPHERE LESS THAN  3\%. THE NORTHEAST ATLANTIC REGION HARBORS THE HIGHEST NUMBER OF KNOWN  SPECIES 32 NOMINAL SPECIES FOLLOWED BY THE CARIBBEAN SEA/GULF OF  MEXICO 24 THE MEDITERRANEAN/BLACK SEA 19  INDONESIA-MALAYSIA-PHILIPPINES REGION 17 JAPANESE WATERS 17 AND  THE BRAZIL-ARGENTINA AREA 16. OTHER THAN THESE GENERALIZED PATTERNS  LITTLE CAN BE CONCLUDED CONCERNING THE BIOGEOGRAPHY OF THE GROUP. MANY  SPECIES RECORDS ARE DOUBTFUL OR IMPROBABLE AND PURPORTEDLY COSMOPOLITAN  NOMINAL SPECIES ARE BEING REVEALED AS SPECIES COMPLEXES YET TO BE  STUDIED.,SUAREZ-MORALES E 2011 PLOS ONE,Diversity of the Monstrilloida (Crustacea: Copepoda),10.1371/journal.pone.0022915,Suárez-Morales,PLoS ONE,0.942307692307692,0.928571428571429
