;X;PY;TI;DE;AB;SR;DI;;;;;;;;;;;;;;;;;;
1330;ANKER A, 2008, ZOOTAXA;2008;REVISION OF THE ALPHEUS CYLINDRICUS KINGSLEY, 1878 SPECIES COMPLEX (CRUSTACEA: DECAPODA: ALPHEIDAE), WITH REVALIDATION OF A. VANDERBILTI BOONE, 1930;ALPHEUS;;;; CARIBBEAN; COI; BARCODE;; MOLECULAR PHYLOGENY; SPONGE;" SYMBIOSIS"",""ALPHEUS CYLINDRICUS KINGSLEY, 1878, PREVIOUSLY BELIEVED TO BE WIDELY DISTRIBUTED IN THE TROPICAL EASTERN PACIFIC AND WESTERN AND EASTERN ATLANTIC, IS REVISED. TWO SPECIES ARE RECOGNIZED BASED ON MORPHOLOGY, COLOR PATTERN AND GENETICS. ALPHEUS CYLINDRICUS IS RESTRICTED TO THE TROPICAL EASTERN PACIFIC, FROM THE GULF OF CALIFORNIA TO THE GALAPAGOS. A NEOTYPE OF A. CYLINDRICUS FROM THE TYPE LOCALITY, LAS PERLAS ISLANDS, IS DESIGNATED. ON THE PACIFIC COAST OF PANAMA, THIS SPECIES COMMONLY INHABITS PURPLE SPONGES GROWING AMONG OR UNDER LARGE INTERTIDAL ROCKS. ALPHEUS VANDERBILTI BOONE, 1930 IS FORMALLY RESURRECTED FROM THE SYNONYMY OF A. CYLINDRICUS";" IT OCCURS IN THE TROPICAL WESTERN ATLANTIC, FROM BERMUDA TO BRAZIL, AND IN THE TROPICAL EASTERN ATLANTIC, AROUND THE ISLANDS OF THE GULF OF GUINEA. IN THE CARIBBEAN, A. VANDERBILTI IS MOST OFTEN ENCOUNTERED IN LARGE LOGGERHEAD SPONGES, SPHECIOSPONGIA VESPARIA (LAMARCK, 1814), WHILE IN THE GULF OF GUINEA IT INHABITS SPONGE-LINED TUNNELS IN CORAL ROCKS. COMPLETE SYNONYMIES AND GENBANK BARCODES (COI) ARE PROVIDED. PHYLOGEOGRAPHY OF THE A. CYLINDRICUS COMPLEX IS DISCUSSED BASED ON MOLECULAR DATA."",""ANKER A, 2008, ZOOTAXA"",NA";;;;;;;;;;
1337;FELIX-HACKARDT FC, 2008, NAT CONSERV;2008;POPULATIONAL STUDY AND MONITORING OF THE GOLIATH GROUPER, EPINEPHELUS ITAJARA (LICHTENSTEIN, 1822), IN THE COAST OF PARANA, BRAZIL;ARTIFICIAL HABITATS;;;;;;;;;;;;;;;;;;;;;
1338;CAYRES PAMPONET VC, 2008, NEOTROP ICHTHYOL;2008;A MULTI-APPROACH ANALYSIS OF THE GENETIC DIVERSITY IN POPULATIONS OF ASTYANAX AFF. BIMACULATUS LINNAEUS, 1758 (TELEOSTEI: CHARACIDAE) FROM NORTHEASTERN BRAZIL;MORPHOMETRY;;;;;;;;;;;;;;;;;;;;;
1348;FREIRE KMF, 2008, SCI MAR;2008;DESCRIPTION OF THE EAST BRAZIL LARGE MARINE ECOSYSTEM USING A TROPHIC MODEL;MODELLING;;;;" AND A SLIGHT INCREASE IN BIOMASS WITS OBSERVED FOR TOOTHED CETACEANS, LARGE CARNIVOROUS REEF FISHES, AND DOLPHINFISH. RECYCLING WAS AN IMPORTANT FEATURE OF THIS ECOSYSTEM WITH LOW PHYTOPLANKTON-ORIGINATED PRIMARY PRODUCTION. THE MEAN TRANSFER EFFICIENCY BETWEEN TROPHIC LEVELS WAS 11.4\%. THE GROSS EFFICIENCY OF THE FISHERIES WAS VERY LOW (0.00002), PROBABLY DUE TO THE LOW EXPLOITATION RATE OF MOST OF THE RESOURCES IN THE 1970S. BASIC LOCAL INFORMATION WAS MISSING FOR MANY GROUPS. WHEN INFORMATION GAPS ARE FILLED, THIS MODEL MAY SERVE MORE CREDIBLY FOR THE EXPLORATION OF FISHING POLICIES FOR THIS AREA WITHIN AN ECOSYSTEM APPROACH."",""FREIRE KMF, 2008, SCI MAR"",NA";;;;;;;;;;;;;;;;;
1353;MARTINS GARCIA T, 2008, THALASSAS;2008;MACROFAUNA ASSOCIATED WITH BRANCHING FIRE CORAL MILLEPORA ALCICORNIS (CNIDARIA : HYDROZOA);CALCIFIED HYDROIDS;;;;;;;;;;;;;;;;;;;;;
1354;SILVA NUNES JL, 2008, CYBIUM;2008;PHYLOGENETIC AND ECOLOGICAL INFERENCE OF THREE HALICHOERES (PERCIFORMES : LABRIDAE) SPECIES THROUGH GEOMETRIC MORPHOMETRICS;LABRIDAE;;;;;;;;;;;;;;;;;;;;;
1355;LUIZ OJ, 2008, ZOOTAXA;2008;THE REEF FISH ASSEMBLAGE OF THE LAJE DE SANTOS MARINE STATE PARK, SOUTHWESTERN ATLANTIC: ANNOTATED CHECKLIST WITH COMMENTS ON ABUNDANCE, DISTRIBUTION, TROPHIC STRUCTURE, SYMBIOTIC ASSOCIATIONS, AND CONSERVATION;WESTERN SOUTH ATLANTIC;;;; TROPHIC STRUCTURE; FEEDING;" SYMBIOSES"",""A CHECK-LIST CONTAINING 196 SPECIES OF REEF FISHES RECORDED AT THE LAJE DE SANTOS MARINE STATE PARK IS PRESENTED. MOST OF THEM OCCUR ALONG THE TROPICAL WESTERN ATLANTIC OR OCCUR ON BOTH SIDES OF THE ATLANTIC OCEAN. A MINOR PART RANGES TO THE TEMPERATE ROCKY REEFS OF PATAGONIA OR ARE ENDEMICS TO SOUTHEASTERN BRAZIL. MORINGUA EDWARDSI, ANTENNARIUS MULTIOCELLATUS, SCORPAENA DISPAR, AULOSTOMUS STRIGOSUS, LUTJANUS BUCCANELLA, MULLOIDICHTHYS MARTINICUS AND HALICHOERES PENROSEI HAVE HERE THEIR RANGES EXTENDED SOUTHWARDS TO THE SAO PAULO COAST. BASIC DATA ON SPECIES ABUNDANCE AT THE STUDY SITE, DISTRIBUTION OF SPECIES BETWEEN HABITAT TYPES, TROPHIC STRUCTURE, FEEDING SYMBIOTIC ASSOCIATIONS, AND CONSERVATION ARE COMMENTED UPON."",""LUIZ OJ, 2008, ZOOTAXA"",NA";;;;;;;;;;;;;;;
1363;RUDORFF FM, 2008, BRAZ J OCEANOGR;2008;CORAL REEF DETECTION USING SAR/RADARSAT-1 IMAGES AT COSTA DOS CORAIS, PE/AL, BRAZIL;CORAL REEFS;;;;;;;;;;;;;;;;;;;;;
1364;METRI R, 2008, NAT CONSERV;2008;CALCAREOUS ALGAE BANKS, A RICH ECOSYSTEM TO BE PRESERVED;RHODOLITES;;;;;;;;;;;;;;;;;;;;;
1370;HAZIN FHV, 2008, BULL MAR SCI;2008;A SHARK ATTACK OUTBREAK OFF RECIFE, PERNAMBUCO, BRAZIL: 1992-2006;NA;AN UNPRECEDENTED SERIES OF SHARK ATTACKS ON HUMANS OFF RECIFE, PERNAMBUCO, BRAZIL WITHIN A 14-YR PERIOD FROM SEPTEMBER 1992 TO SEPTEMBER 2006 RESULTED IN 47 INCIDENTS, INCLUDING 17 FATALITIES. A SUITE OF BIOTIC AND ABIOTIC FACTORS WAS EXAMINED TO DETERMINE COMMONALITY IN THE ATTACKS. SURFERS AND BODY BOARDERS WERE THE GROUP MOST AFFECTED WITH A MAJORITY OF VICTIMS BEING YOUNG (< 20 YRS OLD) MALES. ATTACKS OCCURRED PREDOMINANTLY IN SHALLOW WATER, CLOSE TO SHORE AT BEACHES LYING ON A NARROW CHANNEL BORDERED BY AN ADJACENT REEF. ATTACKS TRANSPIRED YEAR-ROUND WITH PEAKS IN JULY AND WERE DISTRIBUTED DAILY FROM THURSDAY TO TUESDAY, WITH PEAK ON SUNDAYS AND NO ATTACKS RECORDED ON WEDNESDAYS. THE CONSTRUCTION AND GROWTH OF THE SUAPE PORT, LOCATED JUST TO THE SOUTH OF RECIFE, HAS RESULTED IN MAJOR ENVIRONMENTAL DEGRADATION AND IS LIKELY TO HAVE PLAYED A ROLE IN THE RECENT ONSET OF SHARK ATTACKS. INDIVIDUALS OF THE SPECIES MOST OFTEN IMPLICATED IN THE ATTACKS, THE BULL SHARK, CARCHARHINUS LEUCAS (MULLER AND HENLE, 1839), MAY HAVE BEEN DISPLACED FROM PREFERRED ESTUARINE/INSHORE HABITATS TO THE NEARBY JABOATAO RIVER AND THE ADJACENT LAGOON RESULTING IN INCREASED INTERACTION WITH HUMANS.;HAZIN FHV, 2008, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1376;CASAL G, 2008, ACTA PROTOZOOL;2008;ULTRASTRUCTURAL DESCRIPTION OF A NEW MYXOSPOREAN PARASITE KUDOA AEQUIDENS SP N. (MYXOZOA, MYXOSPOREA), FOUND IN THE SUB-OPERCULAR MUSCULATURE OF AEQUIDENS PLAGIOZONATUS (TELEOSTEI) FROM THE AMAZON RIVER;AMAZONIAN FISH;;;;;;;;;;;;;;;;;;;;;
1377;ROCHA DE AMORIM PR, 2008, SER LIVROS MUS NAC;2008;MORPHOTAXONOMIC STUDY OF HALIMEDA, PENICILLUS AND UDOTEA SPECIES FROM FRINGING REEF OF THE ITAPARICA ISLAND, BAHIA;CHLOROPHYTA;;;;;;;;;;;;;;;;;;;;;
1378;DOS SANTOS AA, 2008, SER LIVROS MUS NAC;2008;MORPHOTAXONOMIC STUDY OF GRACILARIA SPECIES (RHODOPHYTA, GRACILARIALES) FROM ITAPARICA ISLAND, BAHIA STATE, BRAZIL;GRACILARIA;;;;;;;;;;;;;;;;;;;;;
1379;BANDEIRA-PEDROSA ME, 2008, SER LIVROS MUS NAC;2008;EPIPHYTIC FLORA OF THE GENUS HALIMEDA LAMOUROUX (CHLOROPHYTA, BRYOPSIDALES) IN THE NORTHEASTERN COAST OF THE BRAZIL;EPIPHYTIC FLORA;;;;;;;;;;;;;;;;;;;;;
1382;MCCARTHY DA, 2008, CARIBB J SCI;2008;THE ECOLOGICAL IMPORTANCE OF A RECENTLY DISCOVERED INTERTIDAL SABELLARIID REEF IN ST. CROIX, US VIRGIN ISLANDS;PHRAGMATOPOMA LAPIDOSA;;;;;;;;;;;;;;;;;;;;;
1391;ANKER A, 2007, ZOOTAXA;2007;NEW SPECIES AND RECORDS OF ALPHEID SHRIMPS, GENERA SALMONEUS HOLTHUIS AND PARABETAEUS COUTIERE, FROM THE TROPICAL WESTERN ATLANTIC (DECAPODA, CARIDEA);SALMONEUS;;;;" BRAZIL"",""SIX SPECIES OF THE ALPHEID SHRIMP GENUS SALMONEUS HOLTHUIS, 1955, INCLUDING TWO NEW SPECIES, ARE REPORTED FROM THE TROPICAL WESTERN ATLANTIC. SALMONEUS ORTMANNI (RANKIN, 1898) IS REPORTED FOR THE FIRST TIME FROM ATOL DAS ROCAS, BRAZIL AND ARUBA, NETHERLANDS ANTILLES. SALMONEUS CARVACHOI N. SP. IS DESCRIBED ON THE BASIS OF SPECIMENS PREVIOUSLY MISIDENTIFIED AS S. ORTMANNI FROM GUADELOUPE, FRENCH ANTILLES, AND IS ALSO KNOWN TO OCCUR IN BRAZIL. THE MAIN DIFFERENCE BETWEEN S. CARVACHOI N. SP. AND S. ORTMANNI IS THE MUCH MORE SLENDER DACTYLUS OF THE THIRD TO FIFTH PEREIOPODS IN THE FIRST SPECIES. THE TWO SPECIES ALSO APPEAR TO BE ECOLOGICALLY SEPARATED: S. CARVACHOI N. SP. PREFERS SILT-MUD BOTTOMS OF ESTUARIES AND MANGROVES, WHILE S. ORTMANNI OCCURS MOSTLY IN THE ROCKY-CORALLINE ALGAE INTERTIDAL AND ON SEAGRASS BEDS WITH REEF PATCHES, UNDER ROCKS AND CORAL RUBBLE. SALMONEUS ROCAS N. SP. IS DESCRIBED ON THE BASIS OF A SINGLE SPECIMEN COLLECTED AT ATOL DAS ROCAS";" THIS SPECIES BELONGS TO THE MOSTLY INDO-PACIFIC S. SERRATIDIGITUS (COUTIERE, 1896) SPECIES COMPLEX. SALMONEUS TERES MANNING \& CHACE, 1990 AND S. SETOSUS MANNING \& CHACE, 1990 PREVIOUSLY KNOWN ONLY FROM THE ISOLATED ASCENSION ISLAND IN THE CENTRAL ATLANTIC, ARE REPORTED FOR THE FIRST TIME FROM THE TROPICAL WESTERN ATLANTIC: GUADELOUPE AND NORTHEASTERN BRAZIL, RESPECTIVELY. FINALLY, PARABETAEUS HUMMELINCKI (SCHMITT, 1936) IS RECORDED FOR THE FIRST TIME IN BRAZIL."",""ANKER A, 2007, ZOOTAXA"",NA";;;;;;;;;;;;;;;;
1392;DE O FIGUEIREDO MA, 2007, CIENC MAR;2007;EXPERIMENTAL EVALUATION OF RHODOLITHS AS LIVING SUBSTRATA FOR INFAUNA AT THE ABROLHOS BANK, BRAZIL;ABROLHOS MARINE NATIONAL PARK;;;;;;;;;;;;;;;;;;;;;
1396;ARAUJO JN, 2007, SCI MAR;2007;AGE, GROWTH AND MORTALITY OF WHITE GRUNT (HAEMULON PLUMIERII) FROM THE CENTRAL COAST OF BRAZIL;HAEMULON PLUMIERII;;;;;;;;;;;;;;;;;;;;;
1397;KITAHARA MV, 2007, BULL MAR SCI;2007;SPECIES RICHNESS AND DISTRIBUTION OF AZOOXANTHELLATE SCLERACTINIA IN BRAZIL;NA;THE AZOOXANTHELLATE SCLERACTINIA FROM BRAZILIAN WATERS ARE REVIEWED BASED ON EXAMINATION OF MUSEUM SPECIMENS AND CURRENT LITERATURE, INDICATING THE OCCURRENCE OF 59 SPECIES, INCLUDING THE FIRST SOUTHERN ATLANTIC DESCRIPTION OF: CARYOPHYLLIA BERTERIANA DUCHASSAING, 1850, CARYOPHYLLIA CRYPTA CAIRNS, 2000, CARYOPHYLLIA SCOBINOSA ALCOCK, 1902, AND DENDROPHYLLIA ALTERNATA POURTALES, 1880. A CHECKLIST OF ALL SPECIES, INCLUDING FIRST REPORTED OCCURRENCE, RELEVANT LITERATURE, SURVEY VESSEL, POSITION AND DEPTH RANGE DATA, AND WATER MASSES WITHIN WHICH BRAZILIAN AZOOXANTHELLATE SCLERACTINIA OCCUR, ARE PROVIDED. AN IDENTIFICATION KEY IS PROPOSED AND ALMOST ALL SPECIES DISCUSSED IN THIS DOCUMENT ARE ILLUSTRATED. DISTRIBUTIONAL PATTERNS OF DEEP-SEA CORALS FROM BRAZIL AS WELL AS OTHER GEOGRAPHICAL AREAS ARE BRIEFLY DISCUSSED, AND A STRONG AFFINITY WITH THOSE SCLERACTINIA FROM THE CARIBBEAN WATERS IS DEMONSTRATED. A DIAGNOSIS FOR THE SPECIES FIRST TIME DESCRIBED FOR THE SOUTHERN ATLANTIC IS PROVIDED.;KITAHARA MV, 2007, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1399;DE SOUZA AT, 2007, ZOOTAXA;2007;FISHES (ELASMOBRANCHII AND ACTINOPTERYGII) OF PICAOZINHO REEF, NORTHEASTERN BRAZIL, WITH NOTES ON THEIR CONSERVATION STATUS;ICHTHYOFAUNA;;;;;;;;;;;;;;;;;;;;;
1404;SENNA AR, 2007, ZOOTAXA;2007;TWO NEW SPECIES OF QUADRIMAERA (CRUSTACEA : AMPHIPODA : MELITIDAE) FROM ATOL DAS ROCAS, BRAZIL;TAXONOMY;;;;" NORTHEASTERN BRAZIL"",""A FIELD COLLECTION OF CRUSTACEA WAS MADE IN THE BIOLOGICAL RESERVE OF ATOL DAS ROCAS, NORTHEASTERN BRAZIL, FROM OCTOBER 2000 TO OCTOBER 2001. SPECIMENS WERE OBTAINED FROM WASHED ALGAE, FROM THE INNER AND OUTER PARTS OF THE ANNULAR REEF BETWEEN 0-20 M DEPTHS. IN THIS PAPER WE DESCRIBE TWO NEW SPECIES OF THE GENUS QUADRIMAERA KRAPP-SCHICKEL \& RUFFO, 2000 (AMPHIPODA: MELITIDAE) FROM ATOL DAS ROCAS. QUADRIMAERA CHAELATA SP.NOV. DIFFERS FROM ALL OTHER SPECIES OF THE GENUS BY A STRONG PROCESS IN THE PALMAR CORNER ON THE PROPODUS OF GNATHOPOD 2 THAT ESSENTIALLY MAKES IT CHELATE";" QUADRIMAERA ROCASENSIS SP.NOV. DIFFERS FROM ITS CONGENERS IN SIZE, SHAPE, AND ORDER OF EXCAVATIONS ON THE PALM OF GNATHOPOD 2, BY A ROBUST SPINE ON THE INNER MARGIN OF THE DACTYLUS OF GNATHOPOD 2 THAT OPPOSES THE FIRST EXCAVATION OF THE PALM, AND BY THREE LONG BIFID SETAE AND A NAIL WITH AN APICAL SETA, IN EACH LOBE OF THE TELSON. THE TWO NEW SPECIES ARE ENDEMIC TO ATOL DAS ROCAS. THIS STUDY RAISES TO THREE THE NUMBER OF KNOWN SPECIES OF THE GENUS QUADRIMAERA FROM THE ATOLL: THE TWO NEW SPECIES AND QUADRIMAERA CRISTIANAE KRAPP-SCHICKEL \& RUFFO, 2000. A KEY TO IDENTIFICATION FOR THE SPECIES OF QUADRIMAERA FROM ATOL DAS ROCAS IS GIVEN."",""SENNA AR, 2007, ZOOTAXA"",NA";;;;;;;;;;;;;;;;
1416;SOUZA LLG, 2007, REV BRAS ZOOL;2007;REPRODUCTIVE BIOLOGY OF THE DAMSELFISH, STEGASTES FUSCUS CUVIER, IN THE COASTAL ROCKY REEFS OF NORTHEASTERN BRAZIL;GONADAL DEVELOPMENT;;;;;;;;;;;;;;;;;;;;;
1420;MOURA RL, 2007, ZOOTAXA;2007;A NEW SPECIES OF SNAPPER (PERCIFORMES : LUTJANIDAE) FROM BRAZIL, WITH COMMENTS ON THE DISTRIBUTION OF LUTJANUS GRISEUS AND L-APODUS;LUTJANUS ALEXANDREI NEW SPECIES;;;;;;;;;;;;;;;;;;;;;
1426;LOIOLA LDL, 2007, CONSERVATION AND ADAPTIVE MANAGEMENT OF SEAMOUNT AND DEEP-SEA CORAL ECOSYSTEMS;2007;BLACK CORALS (CNIDARIA : ANTIPATHARIA) FROM BRAZIL: AN OVERVIEW;NA;THERE ARE FEW RECORDS OF BLACK CORALS (CNIDARIA: ANTIPATHARIA) FROM BRAZIL, WHERE THERE ARE PREVIOUS REPORTS OF ONLY 18 SPECIES FROM THE FAMILIES ANTIPATHIDAE, MYRIOPATHIDAE, AND SCHIZOPATHIDAE. MOST OF THESE RECORDS ARE FROM THE DEEP-SEA, ESPECIALLY FROM SOUTHWESTERN ATLANTIC SEAMOUNTS AND THE BRAZILIAN CONTINENTAL SHELF MARGINS. MOST SPECIMENS WERE COLLECTED BETWEEN 13 DEGREES AND 22 DEGREES S, DURING A STUDY TO SURVEY THE LIVING RESOURCES OFF BRAZIL (REVIZEE PROGRAM), CARRIED OUT BY THE BRAZILIAN GOVERNMENT. THIS PAPER IS AN HISTORICAL OVERVIEW CONCERNING THE GEOGRAPHIC AND BATHYMETRIC DISTRIBUTION OF BLACK CORAL SPECIES REPORTED OFF BRAZIL. THE GENUS CHRYSOPATHES IS HEREIN REPORTED FOR THE FIRST TIME IN THE ATLANTIC OCEAN AND THE FAMILY APHANIPATHIDAE (SUBFAMILIES ACANTHOPATHINAE AND APHANIPATHINAE) IS REPORTED FOR THE FIRST TIME IN THE SOUTHWESTERN ATLANTIC.;LOIOLA LDL, 2007, CONSERVATION AND ADAPTIVE MANAGEMENT OF SEAMOUNT AND DEEP-SEA CORAL ECOSYSTEMS;NA;;;;;;;;;;;;;;;;;;
1427;PIRES DDO, 2007, CONSERVATION AND ADAPTIVE MANAGEMENT OF SEAMOUNT AND DEEP-SEA CORAL ECOSYSTEMS;2007;THE AZOOXANTHELLATE CORAL FAUNA OF BRAZIL;NA;THE AZOOXANTHELLATE CORAL FAUNA DIVERSITY AND DISTRIBUTION OFF BRAZIL ARE PROVIDED, WITH DATA BOTH NEWLY COLLECTED AND COMPILED FROM THE LITERATURE. THE BRAZILIAN COAST IS > 7000 KM LONG AND RELATIVELY LITTLE SAMPLING HAS BEEN CONDUCTED IN THE AREA, EXCEPT DURING THE LAST TWO DECADES. KNOWLEDGE OF THE AZOOXANTHELLATE CORAL FAUNA OF BRAZIL IS FRAGMENTORY, DESPITE RECENT CONTRIBUTIONS LISTING A TOTAL OF 45 SPECIES. HERE I REPORT 56 SPECIES, INCLUDING FOUR NEW RECORDS, WHICH IS HIGH COMPARED TO THE 15 ZOOXANTHELLATE CORAL SPECIES OCCURRING IN BRAZIL. AT PRESENT, THE RATIO OF AZOOXANTHELLATE TO ZOOXANTHELLATE SPECIES IS 4:1, CONTRASTING WITH THE RATIO IN THE TROPICAL-WARM TEMPERATE WESTERN ATLANTIC (2:1) AND THE RATIO WORLDWIDE (1:L). THE SPECIES LOPHELIA PERTUSA (LINNAEUS, 1758) (17-34 DEGREES S) AND SOLENOSMILIA VARIABILIS DUNCAN, 1873 (9-34 DEGREES S) ARE THE MOST DOMINANT COLD-WATER REEF-BUILDING CORAL SPECIES IN BRAZIL.;PIRES DDO, 2007, CONSERVATION AND ADAPTIVE MANAGEMENT OF SEAMOUNT AND DEEP-SEA CORAL ECOSYSTEMS;NA;;;;;;;;;;;;;;;;;;
1428;HAGEMANN SG, 2007, DIGGING DEEPER, VOLS 1 AND 2: DIGGING DEEPER;2007;GOLD MINERALIZATION TYPES IN THE BORBOREMA PROVINCE, NE BRAZIL: GEOLOGICAL CONTROLS AND EXPLORATION MODELS;GOLD;;;;;;;;;;;;;;;;;;;;;
1430;DIAS EA, 2007, GENET MOL RES;2007;LACK OF INTERPOPULATION GENETIC STRUCTURE IN THE GENUS STEGASTES (PERCIFORMES) WITH INDICATION OF LOCAL INTROGRESSION;GENETIC VARIABILITY;;;;;;;;;;;;;;;;;;;;;
1439;LESSA GC, 2006, J COAST RES;2006;ON THE CIRCULATION OF A COASTAL CHANNEL WITHIN THE ABROLHOS CORAL-REEF SYSTEM - SOUTHERN BAHIA (17 DEGREES 40 ` S), BRAZIL;ABROLHOS;;;;;;;;;;;;;;;;;;;;;
1440;DUTRA LXC, 2006, J COAST RES;2006;EFFECTS OF SEDIMENT ACCUMULATION ON REEF CORALS FROM ABROLHOS, BAHIA, BRAZIL;CORAL REEFS;;;;;;;;;;;;;;;;;;;;;
1441;ROLLNIC M, 2006, J COAST RES;2006;CIRCULATION OF THE COASTAL WATERS OFF BOA VIAGEM, PIEDADE AND CANDEIAS BEACHES PERNAMBUCO, BRAZIL;HYDRODYNAMICS;;;;;;;;;;;;;;;;;;;;;
1442;TRAVASSOS MP, 2006, J COAST RES;2006;HYDROCHEMICAL CHARACTERISTICS OF THE CARAVELAS RIVER ESTUARY AND SURROUNDING SEAZONE, BRAZIL;ESTUARY;;;;;;;;;;;;;;;;;;;;;
1443;FERREIRA BP, 2006, J COAST RES;2006;THE ENVIRONMENTAL MUNICIPAL COUNCILS AS AN INSTRUMENT IN COASTAL INTEGRATED MANAGEMENT: THE AREA DE PROTECAO AMBIENTAL COSTA DOS CORAIS (AL/PE) EXPERIENCE;TAMANDARE;;;;;;;;;;;;;;;;;;;;;
1444;KROHLING W, 2006, J COAST RES;2006;FOULING COMMUNITY RECRUITMENT ON AN ARTIFICIAL REEF IN THE NORTH COAST OF RIO DE JANEIRO STATE;COLONIZATION;;;;;;;;;;;;;;;;;;;;;
1445;DUBIASKI-SILVA J, 2006, J COAST RES;2006;ONTOGENETIC AND SEASONAL VARIATION IN THE DIET OF MARIMBA, DIPLODUS ARGENTEUS (VALENCIENNES, 1830) (PISCES, SPARIDAE) ASSOCIATED WITH THE BEDS OF SARGASSUM CYMOSUM C. AGARDH, 1820 (PHAEOPHYTA) AT PONTA DAS GAROUPAS, BOMBINHAS, SANTA CATARINA;DIPLODUSARGENTEUS;;;;;;;;;;;;;;;;;;;;;
1446;DUBIASKI-SILVA J, 2006, J COAST RES-a;2006;THE FISH ASSEMBLAGE ASSOCIATED TO THE PHYTAL OF SARGASSUM CYMOSUM C. AGARDH, 1820, AT PONTA DAS GAROUPAS, BOMBINHAS, SANTA CATARINA;FISHES;;;;;;;;;;;;;;;;;;;;;
1447;MENDES CLT, 2006, J COAST RES;2006;THE RELATION OF ALGAL AVAILABILITY AND FOOD PREFERENCES IN THE FIELD DIET OF THE EQUINOID ECHINOMETRA LUCUNTER ON A ROCKY SHORE IN SOUTHEAST BRAZIL;HERBIVORY;;;;;;;;;;;;;;;;;;;;;
1448;GODOY EAS, 2006, J COAST RES;2006;UTILIZATION OF BOTTOM TRAWLING AND UNDERWATER VISUAL CENSUS METHODOLOGIES ON THE ASSESSMENT OF THE FISH COMMUNITIES FROM ARVOREDO BIOLOGICAL MARINE RESERVE, SC, BRAZIL;MARINE PROTECTED AREA;;;;;;;;;;;;;;;;;;;;;
1449;JARDEWESKI CLF, 2006, J COAST RES;2006;FISH ASSEMBLAGE ON ARTIFICIAL REEFS IN SOUTH BRAZILIAN COAST;ARTIFICIAL REEF;;;;;;;;;;;;;;;;;;;;;
1450;BROTTO DS, 2006, J COAST RES;2006;USAGE PATTERNS OF AN ARTIFICIAL REEF BY THE FISH COMMUNITY ON THE NORTHERN COAST OF RIO DE JANEIRO - BRAZIL;ARTIFICIAL REEF;;;;;;;;;;;;;;;;;;;;;
1451;ROCHA RM, 2006, J COAST RES;2006;SPATIAL DISTRIBUTION AND ABUNDANCE OF ASCIDIANS IN A BANK OF CORALLINE ALGAE AT PORTO NORTE, ARVOREDO ISLAND, SANTA CATARINA;MAERL;;;;;;;;;;;;;;;;;;;;;
1452;VASCONCELOS FP, 2006, J COAST RES;2006;CONTRIBUTION TO INTEGRATED COASTAL ZONE MANAGEMENT (ICZM) AS A SOLUTION TO COASTAL ENVIRONMENTAL PROBLEMS OF FORTALEZA (NE-BRAZIL);COASTAL DYNAMIC;;;;" CONSTRUCTION OF AN ARTIFICIAL REEF TO DISSIPATION THE ENERGY OF THE WAVES IN THE COAST."",""VASCONCELOS FP, 2006, J COAST RES"",NA";;;;;;;;;;;;;;;;;
1453;DO AMARAL RF, 2006, J COAST RES;2006;USING SMALL FORMAT AERIAL PHOTOGRAPHS (SFAP) TO MAP CORAL REEFS IN RIO GRANDE DO NORTE, BRAZIL;CORAL REEF MAPPING;;;;;;;;;;;;;;;;;;;;;
1455;SALANI S, 2006, ZOOTAXA;2006;SIGMAXINELLA CEARENSE SP NOV FROM SANDSTONE REEFS OFF FORTALEZA (CEARA STATE, BRAZIL) (DESMACELLIDAE, MYCALINA, POECILOSCLERIDA, DEMOSPONGIAE);SIGMAXINELLA;;;;;;;;;;;;;;;;;;;;;
1464;DE MATOS NOGUEIRA JM, 2006, ZOOL STUD;2006;INTERTIDAL SPECIES OF BRANCHIOMMA KOLLIKER AND PSEUDOBRANCHIOMMA JONES (POLYCHAETA : SABELLIDAE : SABELLINAE) OCCURRING ON ROCKY SHORES ALONG THE STATE OF SAO PAULO, SOUTHEASTERN BRAZIL;POLYCHAETA;;;;;;;;;;;;;;;;;;;;;
1471;MENDES LDF, 2006, REV BRAS ZOOL;2006;NATURAL HISTORY FOCUS BLENNIES AND GOBIES BEHAVIOUR (ACTINOPTERYGII, BLENNIOIDEI, GOBIOIDEI) FROM FERNANDO DE NORONHA ARCHIPELAGO.;PREFERENCIAL LIABITAT;;;;;;;;;;;;;;;;;;;;;
1477;[ANONYMOUS] A, 2012, BULL MAR SCI;2012;INTERNATIONAL SYMPOSIUM ON CIRCLE HOOKS IN RESEARCH, MANAGEMENT, AND CONSERVATION, CORAL GABLES, FL, USA, MAY 4-6, 2011 ABSTRACTS;NA;NA;[ANONYMOUS] A, 2012, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1478;[ANONYMOUS] A, 2012, SCIENCE;2012;ABROLHOS SHELF, BRAZIL 3 MASSIVE CORAL BEDS CHARTED OFF BRAZIL;NA;NA;[ANONYMOUS] A, 2012, SCIENCE;NA;;;;;;;;;;;;;;;;;;
1484;PADMAKUMAR K, 2011, CURR SCI;2011;CARIJOA RIISEI (CNIDARIA : OCTOCORALLIA : CLAVULARIIDAE), A NEWLY OBSERVED THREAT TO GULF OF MANNAR CORAL BIODIVERSITY?;NA;NA;PADMAKUMAR K, 2011, CURR SCI;NA;;;;;;;;;;;;;;;;;;
